UNIX_TIMESTAMP(timeStamp),packetId,sequenceId,mode,isGroundSafe,isSafeMode,isLeopCompleted,isSendAllHk,isSendAllEvents,isAuthorizedAntennaDeployment,isAuthorizedAdcs,isAuthorizedTx,leopWaitTime,isRadioSend
1682377556,793,0,3,0,0,1,0,1,1,1,1,2702,0
1682377561,793,1,3,0,0,1,0,1,1,1,1,2702,0
1682377574,793,2,3,0,0,1,0,1,1,1,1,2702,0
1682377584,793,3,3,0,0,1,0,1,1,1,1,2702,0
1682377589,793,4,3,0,0,1,0,1,1,1,1,2702,0
1682377596,793,5,3,0,0,1,0,1,1,1,1,2702,0
1682377647,793,2,3,0,0,1,0,1,1,1,1,2702,0
1682377657,793,3,3,0,0,1,0,1,1,1,1,2702,0
1682377662,793,4,3,0,0,1,0,1,1,1,1,2702,0
1682377669,793,5,3,0,0,1,0,1,1,1,1,2702,0
1682377744,793,6,3,0,0,1,0,1,1,1,1,2702,0
